yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2011,GA,9353.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.0
2011,GA,9353.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.7
2011,GA,9466.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.7
2011,GA,9175.0,FV,Q018,Total,Total,OVR,OVERALL,Total,41.9
2011,GA,9073.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.2
2011,GA,9107.0,PA,Q043,Total,Total,OVR,OVERALL,Total,50.7
2011,GA,9330.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.2
2011,GA,9008.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.7
2011,GA,9037.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.8
2012,GA,5737.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.1
2012,GA,5737.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.5
2012,GA,6091.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.6
2013,GA,7606.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.3
2013,GA,7606.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2013,GA,7236.0,FV,Q018,Total,Total,OVR,OVERALL,Total,43.2
2013,GA,7097.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.7
2013,GA,7119.0,PA,Q043,Total,Total,OVR,OVERALL,Total,50.8
2013,GA,7053.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.5
2013,GA,7080.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.2
2013,GA,7277.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.7
2013,GA,7381.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.2
2014,GA,5844.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.5
2014,GA,5844.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.2
2014,GA,6347.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.6
2014,GU,2352.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.0
2014,GU,2352.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2014,GU,2518.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.7
2011,HI,7407.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.8
2011,HI,7407.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.8
2011,HI,7301.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.5
2011,HI,7201.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.6
2011,HI,7257.0,PA,Q043,Total,Total,OVR,OVERALL,Total,58.5
2011,HI,7215.0,PA,Q044,Total,Total,OVR,OVERALL,Total,23.7
2011,HI,7236.0,PA,Q045,Total,Total,OVR,OVERALL,Total,38.1
2011,HI,7321.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.1
2011,HI,7382.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.3
2012,HI,7371.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,23.6
2012,HI,7371.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,32.5
2012,HI,7580.0,PA,Q047,Total,Total,OVR,OVERALL,Total,18.7
2013,HI,7609.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.8
2013,HI,7609.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.6
2013,HI,7359.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.2
2013,HI,7241.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.1
2013,HI,7266.0,PA,Q043,Total,Total,OVR,OVERALL,Total,60.2
2013,HI,7222.0,PA,Q044,Total,Total,OVR,OVERALL,Total,26.5
2013,HI,7241.0,PA,Q045,Total,Total,OVR,OVERALL,Total,39.5
2013,HI,7304.0,PA,Q046,Total,Total,OVR,OVERALL,Total,35.0
2013,HI,7368.0,PA,Q047,Total,Total,OVR,OVERALL,Total,22.1
2014,HI,6905.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,22.1
2014,HI,6905.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.0
2014,HI,7245.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.6
2011,ID,5739.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.0
2011,ID,5739.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.2
2011,ID,5705.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.1
2011,ID,5611.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.1
2011,ID,5566.0,PA,Q043,Total,Total,OVR,OVERALL,Total,57.2
2011,ID,5499.0,PA,Q044,Total,Total,OVR,OVERALL,Total,22.4
2011,ID,5702.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.3
2011,ID,5520.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.9
2011,ID,5784.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.4
2012,ID,5578.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.8
2012,ID,5578.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.8
2012,ID,5889.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.3
2013,ID,5315.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.6
2013,ID,5315.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2013,ID,5225.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.5
2013,ID,5132.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.4
2013,ID,5078.0,PA,Q043,Total,Total,OVR,OVERALL,Total,53.9
2013,ID,5028.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.4
2013,ID,5051.0,PA,Q045,Total,Total,OVR,OVERALL,Total,33.6
2013,ID,5194.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.1
2013,ID,5260.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.7
2014,ID,5125.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.9
2014,ID,5125.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.8
2014,ID,5468.0,PA,Q047,Total,Total,OVR,OVERALL,Total,18.7
2011,IL,5355.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.1
2011,IL,5355.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.9
2011,IL,5303.0,FV,Q018,Total,Total,OVR,OVERALL,Total,36.0
2011,IL,5272.0,FV,Q019,Total,Total,OVR,OVERALL,Total,25.2
2011,IL,5233.0,PA,Q043,Total,Total,OVR,OVERALL,Total,51.7
2011,IL,5207.0,PA,Q044,Total,Total,OVR,OVERALL,Total,22.0
2011,IL,5214.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.2
2011,IL,5257.0,PA,Q046,Total,Total,OVR,OVERALL,Total,31.4
2011,IL,5292.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.1
2012,IL,5452.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.1
2012,IL,5452.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.8
2012,IL,5578.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.8
2013,IL,5490.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.4
2013,IL,5490.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.3
