yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2013,AK,614.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,36.2
2013,AK,695.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,37.5
2013,AK,877.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,45.2
2013,AK,1042.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.3
2013,AK,841.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.7
2013,AK,604.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,15.5
2013,AK,322.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,53.1
2013,AK,604.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,35.0
2013,AK,677.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,43.8
2013,AK,839.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,41.2
2013,AK,1006.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,34.5
2013,AK,804.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,31.7
2013,AK,594.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,13.8
2013,AK,672.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,21.9
2013,AK,316.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,30.6
2013,AK,795.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,16.0
2013,AK,835.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,15.8
2013,AK,985.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,19.3
2013,AK,316.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,59.6
2013,AK,592.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,63.2
2013,AK,661.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,47.4
2013,AK,798.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,54.4
2013,AK,973.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,53.1
2013,AK,787.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,53.4
2013,AK,313.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,34.9
2013,AK,582.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,33.8
2013,AK,655.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,20.5
2013,AK,788.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,21.9
2013,AK,963.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,19.4
2013,AK,778.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,19.6
2013,AK,313.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,40.7
2013,AK,591.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,39.5
2013,AK,658.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,31.1
2013,AK,793.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,35.2
2013,AK,968.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,35.3
