yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2014,AK,231.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,34.4
2014,AK,1113.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,23.8
2014,AK,1288.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,18.7
2014,AK,1704.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,8.7
2011,AZ,536.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,36.2
2011,AZ,1655.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,25.2
2011,AZ,1898.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,25.9
2011,AZ,2050.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,17.4
2011,AZ,525.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,34.5
2011,AZ,1622.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,37.3
2011,AZ,1850.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,39.5
2011,AZ,1974.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,38.0
2011,AZ,2054.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,27.6
2011,AZ,1866.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,36.8
2011,AZ,1624.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,44.1
2011,AZ,549.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,46.7
2011,AZ,527.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,28.2
2011,AZ,1602.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,27.4
2011,AZ,1832.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,18.1
2011,AZ,2033.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,12.2
2011,AZ,529.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,35.7
2011,AZ,1626.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,47.5
2011,AZ,1810.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,56.2
2011,AZ,2019.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,64.4
2011,AZ,519.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,9.4
2011,AZ,1600.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,20.3
2011,AZ,1782.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,26.3
2011,AZ,2003.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,34.5
2011,AZ,525.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,22.1
